EmployeeID,Age,Gender,Department,JobRole,EducationLevel,MaritalStatus,MonthlyIncome,YearsAtCompany,YearsInCurrentRole,JobSatisfaction,WorkLifeBalance,OverTime,PerformanceRating,Attrition
1,56,Male,IT,Clerk,PhD,Single,20282,3,2,2,3,No,1,No
2,46,Female,HR,Executive,High School,Married,36524,18,3,4,2,No,2,Yes
3,32,Male,IT,Analyst,Master,Married,22744,13,3,1,1,Yes,3,Yes
4,25,Male,Marketing,Executive,High School,Divorced,83905,17,12,2,2,Yes,3,No
5,38,Female,Finance,Specialist,PhD,Single,123482,16,13,1,3,Yes,1,No
6,56,Female,Finance,Executive,Bachelor,Single,21553,7,4,1,2,Yes,4,No
7,36,Female,IT,Specialist,PhD,Divorced,141343,12,12,3,1,No,1,No
8,40,Male,Finance,Clerk,Master,Divorced,64316,14,3,2,2,No,4,No
9,28,Male,Marketing,Analyst,Bachelor,Single,25183,10,11,4,4,No,4,No
10,28,Female,Operations,Engineer,Master,Divorced,136937,15,1,3,2,Yes,2,Yes
11,41,Male,HR,Executive,PhD,Single,119706,17,10,3,2,Yes,4,No
12,53,Male,Sales,Manager,PhD,Divorced,130815,11,11,3,3,No,2,No
13,57,Male,Marketing,Engineer,Bachelor,Single,15368,11,0,2,4,Yes,3,No
14,41,Female,Marketing,Executive,Master,Single,141277,5,9,2,4,No,1,Yes
15,20,Female,Sales,Engineer,Bachelor,Divorced,70015,5,6,1,4,Yes,2,No
16,39,Male,Sales,Manager,Bachelor,Married,20304,3,8,1,2,No,1,No
17,19,Male,HR,Engineer,Master,Married,70689,0,8,1,1,Yes,2,No
18,41,Male,HR,Engineer,Bachelor,Divorced,43806,16,10,1,3,Yes,3,No
19,47,Male,HR,Manager,High School,Single,66244,3,0,3,2,No,2,No
20,55,Female,Finance,Manager,Bachelor,Divorced,79412,16,8,4,3,Yes,2,No
21,19,Female,Marketing,Manager,PhD,Married,15594,4,13,1,2,Yes,1,No
22,38,Male,Operations,Clerk,Master,Single,32829,8,0,2,4,Yes,2,No
23,50,Male,Sales,Specialist,PhD,Single,37424,5,0,1,3,No,1,No
24,29,Female,Marketing,Specialist,High School,Single,139220,11,1,2,4,No,3,No
25,39,Male,Marketing,Manager,High School,Married,36015,16,9,4,2,Yes,3,No
26,42,Female,HR,Specialist,Bachelor,Married,40209,9,10,3,1,Yes,2,No
27,44,Male,HR,Engineer,PhD,Single,135880,1,14,4,3,Yes,4,No
28,59,Female,Marketing,Manager,Bachelor,Single,137841,0,10,4,4,Yes,3,No
29,45,Male,HR,Executive,Bachelor,Married,36140,12,5,3,2,Yes,4,No
30,33,Male,Finance,Manager,PhD,Married,120144,0,8,2,4,Yes,4,Yes
31,32,Female,Sales,Manager,High School,Single,74816,12,4,4,2,No,1,No
32,20,Female,Marketing,Specialist,High School,Divorced,118154,2,8,3,4,No,4,No
33,54,Male,Sales,Analyst,High School,Divorced,98813,10,8,2,4,Yes,4,No
34,24,Male,Finance,Engineer,Master,Divorced,62764,15,13,2,2,Yes,4,No
35,38,Female,HR,Specialist,Master,Married,107227,17,7,2,4,No,1,Yes
36,26,Female,IT,Engineer,Bachelor,Divorced,97428,1,10,3,3,No,2,No
37,56,Male,Finance,Executive,Master,Divorced,86889,17,11,1,3,No,4,Yes
38,35,Male,IT,Clerk,Master,Married,17751,16,6,3,2,No,3,Yes
39,21,Female,Sales,Analyst,PhD,Divorced,61379,0,2,4,2,No,1,No
40,42,Female,Marketing,Executive,Bachelor,Single,25363,3,9,3,4,Yes,4,Yes
41,31,Female,HR,Executive,Bachelor,Married,34227,19,2,3,2,Yes,4,No
42,26,Female,Finance,Engineer,PhD,Single,89019,5,13,4,4,Yes,1,Yes
43,43,Female,HR,Analyst,High School,Divorced,123414,4,3,3,3,No,1,No
44,19,Male,IT,Engineer,PhD,Single,130499,19,8,3,1,No,1,Yes
45,37,Male,IT,Clerk,High School,Married,131785,8,11,4,1,No,4,No
46,45,Female,Operations,Engineer,Bachelor,Divorced,123505,3,13,1,2,Yes,1,No
47,24,Male,Marketing,Manager,Bachelor,Married,64008,4,13,1,3,No,4,No
48,25,Male,IT,Engineer,Master,Divorced,81185,7,2,2,2,Yes,3,No
49,52,Female,Marketing,Manager,Master,Married,113864,16,12,1,2,Yes,4,No
50,31,Male,Operations,Executive,PhD,Married,56729,14,7,3,3,Yes,2,No
51,34,Male,Finance,Clerk,Master,Single,47034,19,7,4,1,Yes,4,Yes
52,53,Male,Operations,Specialist,Bachelor,Married,81039,12,5,2,4,No,4,Yes
53,57,Female,Marketing,Manager,Bachelor,Married,40203,14,1,3,3,Yes,4,No
54,21,Female,IT,Clerk,High School,Single,29996,3,5,2,2,No,2,No
55,19,Male,Sales,Engineer,Master,Divorced,124880,17,3,4,1,Yes,1,No
56,23,Male,Marketing,Specialist,High School,Divorced,47602,18,13,3,3,No,4,No
57,59,Male,HR,Engineer,Bachelor,Married,42935,7,14,2,4,Yes,3,No
58,21,Male,Sales,Executive,Master,Single,45425,13,6,2,4,Yes,3,No
59,46,Male,Marketing,Engineer,High School,Divorced,136339,0,10,1,1,Yes,1,No
60,35,Male,HR,Manager,Bachelor,Single,77534,1,0,2,4,Yes,3,No
61,43,Female,Operations,Executive,High School,Married,60216,19,2,1,3,Yes,2,No
62,51,Male,Sales,Clerk,Master,Single,94632,2,13,1,3,Yes,1,No
63,27,Male,Marketing,Executive,High School,Married,49942,15,13,4,1,Yes,1,No
64,53,Female,Finance,Clerk,High School,Divorced,18527,2,7,1,1,Yes,2,Yes
65,31,Male,Operations,Analyst,Bachelor,Divorced,28993,5,0,2,4,No,2,Yes
66,48,Male,HR,Manager,Master,Divorced,45224,7,12,1,2,No,3,Yes
67,32,Male,Finance,Manager,PhD,Divorced,20423,11,9,1,2,Yes,3,No
68,25,Male,IT,Clerk,PhD,Single,42113,4,11,2,1,Yes,2,No
69,31,Female,Operations,Engineer,High School,Single,58246,4,2,4,2,No,3,No
70,40,Male,Operations,Specialist,Bachelor,Single,41833,2,2,4,2,Yes,4,No
71,57,Female,Marketing,Engineer,Master,Married,30928,3,11,2,3,Yes,2,No
72,38,Male,Marketing,Analyst,Bachelor,Divorced,136190,4,7,3,2,No,3,No
73,33,Male,HR,Clerk,Master,Divorced,61268,2,13,3,3,No,3,Yes
74,35,Female,Operations,Analyst,Bachelor,Divorced,75924,9,0,2,2,Yes,1,No
75,41,Male,Marketing,Clerk,PhD,Single,104643,18,9,1,1,Yes,1,Yes
76,43,Female,IT,Analyst,PhD,Single,96814,7,4,2,3,No,4,Yes
77,42,Female,Marketing,Clerk,PhD,Divorced,89361,5,6,2,2,Yes,2,Yes
78,58,Female,Operations,Manager,Bachelor,Married,39372,6,3,3,4,No,4,No
79,46,Male,Sales,Analyst,Bachelor,Single,64652,5,14,3,4,Yes,2,No
80,32,Male,Finance,Analyst,High School,Divorced,16563,12,9,2,4,Yes,2,Yes
81,18,Male,Operations,Clerk,PhD,Divorced,35459,12,2,1,1,No,3,Yes
82,42,Male,IT,Executive,High School,Divorced,104606,4,9,4,3,No,1,No
83,24,Female,Operations,Executive,Bachelor,Married,104219,5,5,2,2,Yes,1,No
84,26,Male,IT,Manager,Master,Divorced,57877,9,4,2,1,Yes,2,No
85,41,Male,Operations,Engineer,PhD,Single,49096,19,1,4,4,No,3,No
86,18,Female,Finance,Engineer,PhD,Married,29134,9,5,3,3,No,2,No
87,25,Female,Finance,Manager,PhD,Married,38902,15,10,1,2,Yes,1,No
88,41,Male,IT,Engineer,PhD,Divorced,41117,17,12,3,2,Yes,4,No
89,28,Female,Operations,Specialist,PhD,Single,17766,2,12,4,3,Yes,1,Yes
90,34,Female,Finance,Specialist,Bachelor,Single,66979,0,12,4,1,Yes,4,No
91,25,Female,HR,Specialist,PhD,Divorced,112520,2,2,4,3,Yes,1,No
92,52,Female,Operations,Specialist,PhD,Divorced,41360,18,8,4,1,Yes,1,No
93,52,Female,Finance,Clerk,High School,Single,20605,0,2,1,4,Yes,2,Yes
94,50,Male,Sales,Executive,Master,Married,114437,7,8,2,4,Yes,4,Yes
95,22,Male,Sales,Manager,PhD,Married,59349,18,5,2,1,No,4,No
96,59,Male,HR,Clerk,High School,Divorced,131546,3,7,4,3,No,2,No
97,56,Male,Finance,Specialist,Bachelor,Divorced,70371,15,8,1,1,Yes,2,No
98,58,Male,Sales,Manager,High School,Single,141733,4,14,4,4,Yes,3,Yes
99,45,Male,Operations,Executive,PhD,Single,52473,4,7,1,2,No,4,No
100,24,Male,Marketing,Engineer,High School,Single,135305,1,10,2,3,Yes,1,No
101,26,Female,Finance,Clerk,High School,Single,117878,5,13,1,4,No,2,No
102,25,Male,HR,Executive,Bachelor,Divorced,31294,6,1,2,1,Yes,4,No
103,29,Male,Finance,Manager,High School,Divorced,19683,14,2,1,4,No,2,No
104,51,Male,IT,Analyst,Bachelor,Single,141745,9,7,3,2,No,4,No
105,50,Female,IT,Clerk,Bachelor,Divorced,115715,9,4,1,1,No,1,Yes
106,40,Male,Sales,Manager,High School,Divorced,48076,18,9,4,3,Yes,2,Yes
107,41,Male,IT,Manager,PhD,Single,86712,15,3,3,2,Yes,3,No
108,54,Female,HR,Executive,Master,Married,115136,8,5,3,1,Yes,1,No
109,52,Male,Sales,Manager,High School,Married,37567,7,11,3,4,Yes,2,No
110,57,Male,HR,Clerk,High School,Single,93509,18,11,3,4,No,3,Yes
111,39,Female,Operations,Specialist,High School,Married,31094,0,12,3,3,No,2,Yes
112,44,Male,HR,Clerk,Master,Divorced,37794,16,14,3,1,Yes,1,No
113,52,Female,IT,Manager,Master,Married,17000,17,5,3,4,No,1,No
114,18,Male,Operations,Executive,Bachelor,Single,80287,14,13,1,3,Yes,1,No
115,52,Male,IT,Clerk,Master,Single,96120,5,6,4,2,No,3,No
116,54,Male,HR,Analyst,Master,Married,21782,16,4,1,3,Yes,4,No
117,31,Female,IT,Specialist,High School,Married,116380,17,0,3,2,Yes,1,No
118,20,Female,IT,Engineer,Bachelor,Divorced,56405,18,13,3,1,No,1,No
119,18,Female,IT,Executive,PhD,Married,40657,1,14,3,4,No,4,No
120,22,Male,Finance,Executive,Bachelor,Married,84287,6,12,1,1,Yes,3,No
121,43,Male,Operations,Engineer,Master,Married,61620,16,14,4,2,No,3,No
122,31,Female,Operations,Engineer,Master,Divorced,146016,14,7,4,1,No,4,No
123,56,Female,Operations,Clerk,High School,Married,112361,15,13,1,2,Yes,1,No
124,44,Male,HR,Manager,PhD,Divorced,126366,16,0,2,1,Yes,3,No
125,26,Male,Marketing,Manager,PhD,Divorced,22785,2,3,2,4,Yes,4,Yes
126,32,Male,HR,Analyst,PhD,Single,27564,9,2,4,1,Yes,3,No
127,32,Male,Operations,Specialist,Master,Single,37479,5,2,2,3,Yes,2,No
128,43,Female,Sales,Manager,Master,Divorced,142938,1,5,1,4,Yes,2,No
129,59,Male,IT,Analyst,Bachelor,Divorced,105225,10,7,4,3,Yes,4,No
130,30,Male,IT,Analyst,Master,Divorced,137084,7,4,4,3,Yes,1,No
131,49,Male,Marketing,Executive,PhD,Single,43259,13,5,1,4,Yes,2,No
132,56,Male,Sales,Executive,PhD,Divorced,78742,11,11,1,2,Yes,1,Yes
133,49,Male,Finance,Specialist,PhD,Single,55302,19,5,1,3,No,3,No
134,21,Male,HR,Clerk,High School,Single,140982,6,11,3,3,No,4,No
135,47,Male,Finance,Engineer,Bachelor,Divorced,133891,17,0,2,3,No,2,No
136,54,Female,Sales,Engineer,Bachelor,Divorced,68529,4,14,2,1,Yes,4,Yes
137,40,Female,Marketing,Specialist,Master,Divorced,148740,5,14,4,2,No,4,No
138,56,Female,Sales,Analyst,High School,Single,37917,12,6,2,3,Yes,4,No
139,32,Male,Marketing,Specialist,Bachelor,Married,107688,1,0,4,4,Yes,4,No
140,46,Female,Finance,Engineer,High School,Divorced,116545,18,11,4,3,No,4,No
141,53,Male,Finance,Analyst,High School,Married,81413,7,13,3,3,Yes,3,Yes
142,30,Male,Sales,Engineer,Master,Married,130886,10,14,4,1,Yes,2,No
143,49,Male,Sales,Clerk,High School,Married,48221,15,6,3,2,Yes,4,No
144,24,Male,IT,Executive,Bachelor,Married,131831,0,12,2,3,Yes,2,No
145,39,Female,Marketing,Executive,Master,Married,125081,15,12,3,3,Yes,2,No
146,45,Male,IT,Analyst,Bachelor,Single,120508,11,7,1,3,No,3,No
147,19,Male,HR,Specialist,High School,Single,24103,16,3,3,1,No,2,No
148,59,Female,HR,Engineer,High School,Single,127892,8,7,4,1,No,2,Yes
149,23,Female,Sales,Manager,PhD,Married,106579,5,5,2,4,No,2,No
150,45,Female,Finance,Clerk,Master,Single,146512,6,5,4,3,No,3,No
151,45,Male,HR,Engineer,Master,Divorced,114299,12,10,2,1,No,1,Yes
152,37,Female,HR,Manager,PhD,Married,82647,16,10,4,4,No,2,No
153,47,Male,IT,Clerk,Bachelor,Divorced,51868,9,8,3,4,No,2,No
154,28,Male,IT,Clerk,Bachelor,Married,53983,10,5,4,2,No,2,No
